"video_id","uploader","interval","category","length","views","rating","total_rating","comments","related_id"
"xSVKUu4j4Ns","cinnamoncandytube","1077","Music","105","1179","4.9","10","10",""
"_5pYB4ugNa4","notcricket","1024","Music","207","5908","4.67","15","15","tvGxzg7-GQo"
"5deOrTNQwwU","BadgerVsMonkey","1102","Music","266","3375","4.79","33","22","HRuj1PkhdCg"
"_gdrsVvE4q4","mnoomoo","941","Music","253","980","5.0","6","5","pLjiqOGVt2s"
"6QKDFyDjs30","jacobgolden","1040","Music","197","1077","5.0","4","8","muUiLVraGGs"
"lra15GfDeBA","jacobgolden","1040","Music","228","894","4.33","6","1","Sif8961lLI4"
"EaIm_hmEGWE","indiequeen92","1082","Music","210","350","0.0","0","0","9R6pd9ZsRbQ"
"C2eImII-pjI","jess182","664","Music","124","1731","3.56","9","11","ld9FReg35t8"
"pitn0PDoT8Y","1989sunrise1989","903","People & Blogs","191","40121","4.59","29","39","eqjX38Sz6NM"
"D2sfelvHAlU","adolfo0116","500","Music","481","3108851","4.91","9285","6513","VRsJlAJvOSM"
"eBOdjkdgGeI","Araknerman","1015","Music","223","955","4.4","10","4","v4bssIh2MRk"
"IRM-Xje28eU","rainydog","876","People & Blogs","146","1005","4.0","8","0",""
"_mgNnKqKqW0","Cakebutt1","861","Music","195","4112","4.75","4","4","ze27h4mrFiI"
"kWMmbP_7IRA","artisttheone","821","Entertainment","255","36404","4.74","112","83","LvxiK2Lxb4s"
"4C_oHwLcivY","daughtry","987","Music","223","2584278","4.9","8808","6043","E6s8C2DvfGo"
"I2M79Ga7xuI","sullenity","853","Music","168","39776","4.88","76","37","FoQzWb_f1oA"
"TA9BSkQgrGs","VancouverFilmSchool","1114","Entertainment","607","51216","4.18","196","92","ONqgaVU_XPk"
"lYsZRnNdBns","VancouverFilmSchool","1092","Film & Animation","105","176081","3.95","205","115","ONqgaVU_XPk"
"QfxraKQR4pA","matrix220","432","Film & Animation","95","3879","5.0","5","3","iap2qfP1XGE"
"RqBWgTXbHsk","matrix220","625","Film & Animation","130","3480","4.53","17","9","iap2qfP1XGE"
"STrX0yRl9Is","VancouverFilmSchool","1106","Entertainment","618","49071","4.01","115","81","ONqgaVU_XPk"
"fsVui1q_vdY","VancouverFilmSchool","1101","Entertainment","342","36557","4.12","103","88","ONqgaVU_XPk"
"AZse9M-Vhmg","zulker911","904","People & Blogs","219","70795","3.85","47","45","QqHRBD5TwIE"
"u30z4a_j2d0","VancouverFilmSchool","1106","Film & Animation","184","145524","3.77","348","201","ONqgaVU_XPk"
"xIhPdbLD26o","VancouverFilmSchool","1022","Entertainment","81","117003","4.02","171","136","ONqgaVU_XPk"
"sq7XbKd321I","VancouverFilmSchool","1031","Film & Animation","215","78729","4.71","569","336","011Xn0vjVHI"
"mYIarTjO1fM","VancouverFilmSchool","1087","Film & Animation","120","59019","4.69","265","125","ONqgaVU_XPk"
"_tF-DJoBxDQ","VancouverFilmSchool","1099","Film & Animation","103","123057","4.25","313","133","ONqgaVU_XPk"
"xaLtb5cB0Pg","VancouverFilmSchool","1113","Film & Animation","193","36057","4.44","95","26","SXAR_TcOEqA"
"SUY_q7T-IrE","VancouverFilmSchool","1120","Film & Animation","176","19204","4.18","92","48","rDikHLHihj8"
"QFTkb-PSuP4","GroundZeroPoint","1105","Film & Animation","165","409","3.8","5","3","iap2qfP1XGE"
"SXAR_TcOEqA","VancouverFilmSchool","1106","Film & Animation","152","52879","4.23","166","132","ONqgaVU_XPk"
"rDikHLHihj8","VancouverFilmSchool","1122","Film & Animation","139","54356","4.58","375","168","ONqgaVU_XPk"
"uN6-wo-yC0A","VancouverFilmSchool","1115","Film & Animation","130","42226","4.49","260","100","ONqgaVU_XPk"
"PpPabjtVxcg","yoshidakoken","300","Music","287","395167","4.8","556","385","i19IEAwLmQQ"
"jcC5-phJBsc","spally87","719","Music","202","358691","4.66","384","250","PpPabjtVxcg"
"mTkp9UqVVHs","runawaybox","1119","Entertainment","280","107412","4.69","832","510","Vc8tPTVBRSc"
"i19IEAwLmQQ","Remixlover","668","Music","265","553999","4.67","489","208","PpPabjtVxcg"
"MKovL4iKiAY","FrankieThaLuckyDog","1110","Music","571","63188","4.46","70","65","08hU_p48YBI"
"nUDksaQp3IA","kinxero","952","Entertainment","559","101016","5.0","4","81","8yMs-nvci18"
"ngRq82c8Baw","runawaybox","937","Comedy","101","2474409","4.65","7909","7233","Cl8FTdjNri4"
"SiHPEPrC1gQ","runawaybox","1127","Entertainment","140","45246","4.72","330","157","Vc8tPTVBRSc"
"udwUnwHJYck","Manintheboxshow","876","Comedy","88","1768978","3.86","6195","3295","X9YDzEVHp1k"
"08hU_p48YBI","FrankieThaLuckyDog","1077","Music","536","148918","4.52","152","111","5ykrFdSwyrY"
"XNSJeX9BdsI","kucka17","963","Music","162","160898","4.48","25","11","7s170__ltyY"
"SG8WMwda968","runawaybox","1094","Entertainment","149","21531","4.25","291","161","Vc8tPTVBRSc"
"1F2uD5BjfEw","azyprincess","698","Music","330","137285","4.32","93","75","Or-PajUn1c4"
"eRxrNwRRUvE","SallyJ2007","1122","News & Politics","193","18374","4.82","17","10","PQ9ttc2FrL4"
"qrlyWD6q8zc","runawaybox","1129","Entertainment","40","66480","4.34","312","158","Vc8tPTVBRSc"
"6seMSc9em-M","runawaybox","1126","Entertainment","139","46742","4.72","387","155","Vc8tPTVBRSc"
"1I-0a64Hu_8","Manintheboxshow","1092","Entertainment","159","49119","4.74","209","97","GXcyNVxlnqk"
"2PFJCmDMaKo","runawaybox","1122","Entertainment","80","23259","4.74","72","30","Vc8tPTVBRSc"
"NojLmuup_eM","corazonazultw","930","Music","598","73944","4.83","138","65","Or-PajUn1c4"
"efnn0hwMc6k","runawaybox","1122","Entertainment","39","32239","4.17","107","61","Vc8tPTVBRSc"
"U8cmRdpcePc","secretcityrecords","1121","Music","193","5282","4.77","26","19","ryJVQcG3tXg"
"TVElOObQLZI","janerpants","867","Music","64","4785","4.86","7","5",""
"DNQ97P0rQk8","beachhouseband","1106","Music","272","16872","4.88","33","22","8UqwNLdb45k"
"lYDUk0ESwt4","ninofficial","1121","Music","136","677750","4.64","1822","1619","ZsF9DVKSnP0"
"JT5AQIlmM0I","r8dkid","859","Entertainment","174","1525527","4.88","2653","1020","pY8jaGs7xJ0"
"YA2h9PrIUxs","secretcityrecords","729","Music","187","683395","4.64","2032","1162","x5VdYqd6CdA"
"Z94V2phbWKY","thisiscrazyfunny","1126","Music","216","652","5.0","2","1","U8cmRdpcePc"
"SeHXpWkRkxo","TgirlQueensland","1129","People & Blogs","57","116712","1.62","325","139","5huPDklrc-Q"
"4A6Dvdb6KUU","tinkerbellcj20","1123","Music","212","316672","4.78","1580","1741","sdY65z8_gvQ"
"kPO_7min6JE","terranaomi","1125","Music","275","149629","4.6","884","653","LD5sahXoj0U"
"9zjWho3Sbv4","raymondberlin","1129","Music","249","878","4.53","19","25","zbr1EiIC2Ro"
"UGwiiDXOOQg","Ludaf1","1039","Music","231","44535","4.88","73","27","cga2KXcR9VI"
"r12iGnmHa74","sftbob","1123","News & Politics","105","617647","4.5","1086","1295","Efx6lW0EO9k"
"ESHa9-Czv_A","v4bec","1132","Sports","299","321381","4.18","225","1209","amKozbaTU_o"
"tQDPUd5_sak","HockeyHighlights","1132","Sports","45","40300","3.83","23","75","Th33ZesLBhg"
"5v6ZFL3Xvf4","maggotleader1","1135","Sports","53","406","5.0","3","7","3-f8FtaVYYc"
"s92LY161Gww","jonathanroy30","1133","Sports","38","50474","4.45","33","204","ZaDu9qYcPXM"
"5ST_-yhbhgw","GOMaX61","1133","Sports","50","43721","4.65","37","163","ESHa9-Czv_A"
"T1Xv-d6OJ8k","MoniiiOldhamstto","1134","Sports","58","3208","3.0","1","8","nVIG7RMif6s"
